obs,id,like,comment,share,engagement,log_engage,length,question,valence,hashtag,picture,url,at_mention,emoji
55,132925,5,9,2,16,2.833213344056216,24,0,-0.2166499999999996,0,0,1,0,1
56,132926,2,2,1,5,1.791759469228055,10,0,3.02,0,0,0,0,1
57,132927,2,2,1,5,1.791759469228055,13,0,3.02,1,0,0,0,1
58,132928,15,15,3,33,3.5263605246161616,20,0,3.9063,1,1,1,0,1
59,132929,5,6,0,11,2.4849066497880004,6,1,0.0,0,0,0,0,0
60,132930,16,6,3,25,3.258096538021482,24,0,0.0,0,1,2,0,0
61,132931,4,3,1,8,2.1972245773362196,39,0,3.80585,0,2,2,0,0
62,132932,638,19,17,674,6.51471269087253,31,1,2.755433333333334,1,0,0,2,3
63,132933,8,10,1,19,2.995732273553991,31,0,0.3933500000000003,0,1,2,0,3
64,132934,8,7,2,17,2.8903717578961645,29,0,3.9483,1,1,2,0,0
65,132935,2,2,1,5,1.791759469228055,32,0,3.37275,1,1,2,0,0
66,132936,4,11,2,17,2.8903717578961645,21,0,3.5067,1,0,0,0,4
67,132937,42,16,12,70,4.2626798770413155,7,0,0.0,1,0,2,0,0
68,132938,10,5,2,17,2.8903717578961645,33,0,2.56905,1,1,2,2,3
69,132939,11,18,4,33,3.5263605246161616,8,0,0.0,0,0,1,0,0
70,132940,6,2,2,10,2.3978952727983707,19,1,3.1452,0,1,2,0,0
71,132941,6,5,3,14,2.70805020110221,14,0,2.54,0,1,1,0,0
72,132942,3,3,2,8,2.1972245773362196,13,0,0.0,0,1,1,0,1
73,132943,2,2,1,5,1.791759469228055,26,1,3.566700000000001,0,1,1,0,2
74,132944,12,20,2,34,3.5553480614894135,11,1,0.0,0,1,1,0,3
75,132945,6,9,3,18,2.9444389791664403,35,1,3.34,0,1,2,0,0
76,132946,12,12,3,27,3.332204510175204,8,0,0.0,0,0,1,0,0
77,132947,12,4,2,18,2.9444389791664403,36,0,2.7581,0,2,2,0,2
78,132948,11,7,2,20,3.044522437723423,42,1,0.0,0,0,1,0,2
79,132949,21,22,5,48,3.8918202981106265,36,0,3.168333333333333,0,1,1,0,2
80,132950,9,9,3,21,3.091042453358316,18,0,3.1452,0,1,2,0,1
81,132951,2,2,1,5,1.791759469228055,25,0,2.38,0,1,2,0,0
82,132952,4,4,1,9,2.302585092994046,37,0,2.9598,0,1,2,0,0
83,132953,13,16,2,31,3.4657359027997265,35,0,3.3124,1,1,1,0,2
84,132954,3,6,2,11,2.4849066497880004,6,1,3.20485,0,0,0,0,0
85,132955,5,4,1,10,2.3978952727983707,30,0,3.677275,0,1,2,0,2
86,132956,11,14,3,28,3.367295829986474,29,0,0.0,2,1,1,1,2
87,132957,3,1,1,5,1.791759469228055,3,0,0.0,0,0,0,0,0
88,132958,3,8,0,11,2.4849066497880004,3,0,0.0,0,0,0,0,0
