,log(1+Engagement),Text Length (words),Question Mark (0/1),Emotional Valence,Hashtag Count,Emoji Count,Picture (0/1),URL (0/1),At-Mention (0/1)
log(1+Engagement),1.0,-0.18446454292947886,0.2621004910829846,0.234374163852963,0.45229611959159477,0.4114703379678427,0.4814675591515155,0.2335525865411539,0.32855754051571323
Text Length (words),-0.18446454292947886,1.0,-0.1914023950469883,0.15031035041194934,-0.012493576485612107,-0.04430533728620113,-0.04161309524735777,0.0352159377919203,0.015891442805624878
Question Mark (0/1),0.2621004910829846,-0.1914023950469883,1.0,0.08853547824031312,0.07484469890615154,0.20615599299814658,0.17198622218034218,-0.06404464923654439,0.010428303805889452
Emotional Valence,0.234374163852963,0.15031035041194934,0.08853547824031312,1.0,0.04693847413795221,0.256747135872126,0.34619998710162314,0.12878458634346612,0.033162350657880035
Hashtag Count,0.45229611959159477,-0.012493576485612107,0.07484469890615154,0.04693847413795221,1.0,0.08712065556014273,0.04204053710177532,0.08425427591152175,0.49498561604551206
Emoji Count,0.4114703379678427,-0.04430533728620113,0.20615599299814658,0.256747135872126,0.08712065556014273,1.0,0.43905902820943316,0.1158714280840963,0.07485997456098424
Picture (0/1),0.4814675591515155,-0.04161309524735777,0.17198622218034218,0.34619998710162314,0.04204053710177532,0.43905902820943316,1.0,0.4171037726431254,-0.016195182358488838
URL (0/1),0.2335525865411539,0.0352159377919203,-0.06404464923654439,0.12878458634346612,0.08425427591152175,0.1158714280840963,0.4171037726431254,1.0,0.06719935158293096
At-Mention (0/1),0.32855754051571323,0.015891442805624878,0.010428303805889452,0.033162350657880035,0.49498561604551206,0.07485997456098424,-0.016195182358488838,0.06719935158293096,1.0
