,log(1+Engagement),Text Length (words),Question Mark (0/1),Emotional Valence,Hashtag Count,Emoji Count,Picture Count,URL Count,At-Mention Count
log(1+Engagement),1.0,-0.3602076571909604,0.23837249112540446,0.17770462837067694,0.44348548833218177,0.37671146725484406,0.40042772735494475,0.287085023944228,0.3737703899177507
Text Length (words),-0.3602076571909604,1.0,-0.27942135554984593,0.06600762020856002,-0.06930211146393754,-0.14157845119381054,-0.1414267275770447,-0.0375939989260193,0.032241201630086494
Question Mark (0/1),0.23837249112540446,-0.27942135554984593,1.0,0.05354006620707327,0.06120659522451168,0.18689719850634764,0.14069050851487916,-0.041697120651486626,0.029513669917415955
Emotional Valence,0.17770462837067694,0.06600762020856002,0.05354006620707327,1.0,0.01788901932682668,0.2211498101308381,0.27223700342499263,0.14076847196251777,0.06736830980570217
Hashtag Count,0.44348548833218177,-0.06930211146393754,0.06120659522451168,0.01788901932682668,1.0,0.06043950926343756,0.01244106013193456,0.1762824523729577,0.5063400107556257
Emoji Count,0.37671146725484406,-0.14157845119381054,0.18689719850634764,0.2211498101308381,0.06043950926343756,1.0,0.39373055980286903,0.12151244213361909,0.13963940676944728
Picture Count,0.40042772735494475,-0.1414267275770447,0.14069050851487916,0.27223700342499263,0.01244106013193456,0.39373055980286903,1.0,0.4953695867892181,0.04716870521108346
URL Count,0.287085023944228,-0.0375939989260193,-0.041697120651486626,0.14076847196251777,0.1762824523729577,0.12151244213361909,0.4953695867892181,1.0,0.11070309465034914
At-Mention Count,0.3737703899177507,0.032241201630086494,0.029513669917415955,0.06736830980570217,0.5063400107556257,0.13963940676944728,0.04716870521108346,0.11070309465034914,1.0
