,log(1+Engagement),Text Length (words),Question Mark (0/1),Emotional Valence,Hashtag Count,Emoji Count,Picture Count,URL Count,At-Mention Count
log(1+Engagement),1.0,-0.18446454292947878,0.26210049108298455,0.234374163852963,0.45229611959159477,0.41147033796784277,0.45050300969056184,0.31796122318465747,0.318786601131854
Text Length (words),-0.18446454292947878,1.0,-0.1914023950469883,0.15031035041194932,-0.012493576485612091,-0.04430533728620106,-0.026556011607980604,0.06338852688102302,0.035211704002108844
Question Mark (0/1),0.26210049108298455,-0.1914023950469883,1.0,0.08853547824031315,0.07484469890615159,0.20615599299814658,0.1631783593295656,-0.017736771058730325,0.025926208305385067
Emotional Valence,0.234374163852963,0.15031035041194932,0.08853547824031315,1.0,0.04693847413795223,0.256747135872126,0.3121266848193015,0.1754113242673759,0.05631233526928886
Hashtag Count,0.45229611959159477,-0.012493576485612091,0.07484469890615159,0.04693847413795223,1.0,0.08712065556014273,0.04420331832630576,0.19340119569838868,0.4603822096134186
Emoji Count,0.41147033796784277,-0.04430533728620106,0.20615599299814658,0.256747135872126,0.08712065556014273,1.0,0.42273427523767987,0.1537322022318091,0.1269285082256818
Picture Count,0.45050300969056184,-0.026556011607980604,0.1631783593295656,0.3121266848193015,0.04420331832630576,0.42273427523767987,1.0,0.5010191240439459,0.042837363326368366
URL Count,0.31796122318465747,0.06338852688102302,-0.017736771058730325,0.1754113242673759,0.19340119569838868,0.1537322022318091,0.5010191240439459,1.0,0.102202661093446
At-Mention Count,0.318786601131854,0.035211704002108844,0.025926208305385067,0.05631233526928886,0.4603822096134186,0.1269285082256818,0.042837363326368366,0.102202661093446,1.0
