,log(1+Engagement),Text Length (words),Question Mark (0/1),Emotional Valence,Hashtag Count,Emoji Count,Picture Count,URL Count,At-Mention Count
log(1+Engagement),1.0,-0.18446454292947886,0.2621004910829846,0.234374163852963,0.45229611959159477,0.4114703379678427,0.45050300969056184,0.3179612231846575,0.318786601131854
Text Length (words),-0.18446454292947886,1.0,-0.1914023950469883,0.15031035041194934,-0.012493576485612107,-0.04430533728620113,-0.02655601160798057,0.0633885268810231,0.035211704002108865
Question Mark (0/1),0.2621004910829846,-0.1914023950469883,1.0,0.08853547824031312,0.07484469890615154,0.20615599299814658,0.16317835932956548,-0.01773677105873029,0.025926208305385067
Emotional Valence,0.234374163852963,0.15031035041194934,0.08853547824031312,1.0,0.04693847413795221,0.256747135872126,0.31212668481930145,0.17541132426737602,0.05631233526928883
Hashtag Count,0.45229611959159477,-0.012493576485612107,0.07484469890615154,0.04693847413795221,1.0,0.08712065556014273,0.04420331832630577,0.19340119569838868,0.4603822096134186
Emoji Count,0.4114703379678427,-0.04430533728620113,0.20615599299814658,0.256747135872126,0.08712065556014273,1.0,0.42273427523767987,0.1537322022318091,0.12692850822568183
Picture Count,0.45050300969056184,-0.02655601160798057,0.16317835932956548,0.31212668481930145,0.04420331832630577,0.42273427523767987,1.0,0.5010191240439458,0.04283736332636838
URL Count,0.3179612231846575,0.0633885268810231,-0.01773677105873029,0.17541132426737602,0.19340119569838868,0.1537322022318091,0.5010191240439458,1.0,0.10220266109344603
At-Mention Count,0.318786601131854,0.035211704002108865,0.025926208305385067,0.05631233526928883,0.4603822096134186,0.12692850822568183,0.04283736332636838,0.10220266109344603,1.0
