,log(1+Engagement),Text Length (words),Question Mark (0/1),Emotional Valence,Hashtag Count,Emoji Count,Picture Count,URL Count,At-Mention Count
log(1+Engagement),,-0.184***,0.262***,0.234***,0.452***,0.411***,0.451***,0.318***,0.319***
Text Length (words),-0.184***,,-0.191***,0.150***,-0.012,-0.044,-0.027,0.063,0.035
Question Mark (0/1),0.262***,-0.191***,,0.089*,0.075*,0.206***,0.163***,-0.018,0.026
Emotional Valence,0.234***,0.150***,0.089*,,0.047,0.257***,0.312***,0.175***,0.056
Hashtag Count,0.452***,-0.012,0.075*,0.047,,0.087*,0.044,0.193***,0.460***
Emoji Count,0.411***,-0.044,0.206***,0.257***,0.087*,,0.423***,0.154***,0.127***
Picture Count,0.451***,-0.027,0.163***,0.312***,0.044,0.423***,,0.501***,0.043
URL Count,0.318***,0.063,-0.018,0.175***,0.193***,0.154***,0.501***,,0.102**
At-Mention Count,0.319***,0.035,0.026,0.056,0.460***,0.127***,0.043,0.102**,
